,Tweets
0,@MandeSimba You're welcome. ^NMT
1,"@lebirdchief Hie Buddie, our apologies for the delay. Our support team is looking into your issue. Once this has be… https://t.co/O3YHEih9n1"
2,"@ndzirambi @econetzimbabwe Hi Norman, may you kindly share your mobile number for assistance. ^MM"
3,"@cactus_jase Hie @cactus_jase, thank you for getting in touch. How may we assist you. ^SC"
4,@King_Alpha99 Kindly check your DM for your response. ^NMT
5,"@Gkidking Hie Mcdonald, our sincere apologies for the delay. Kindly note that we have escalated the issue to the re… https://t.co/rw42Sghabn"
6,"@beaugoss_zw Hie Buddie, thank you for getting in touch. Kindly DM your phone number &amp; the exact nature of your query for assistance. ^NMT"
7,"@_V_alerie_ Hie Valerie, our apologies for the delay. Kindly check your DM for your response. ^NMT"
8,"@BeliaZibowa Hie Buddie, please note that we don't have winners as yet for the 2019 draw. Once they have been annou… https://t.co/WyESUciVxJ"
9,@FortuneMutesva You're welcome Buddie. ^NMT
10,"@Natemeja Hie @Natemeja, kindly check your DM for our response. ^SC"
11,@david21873165 We apologise for the delay @david21873165. ^MM
12,@simmz90 @econetzimbabwe 😀
13,@VimbaiSairon You are welcome Vimbai. ^MM
14,"@thubevundla Hie Buddie, we're currently having a system challenge. Kindly check with us a bit later so that we can assist. ^NMT"
15,@stuk_in_the_mud We are working on it @stuk_in_the_mud. ^MM
16,"@MervynMacool @Thando_Mbedzi @econetzimbabwe @EcoCashZW Makadini @MervynMacool, tinokumbirawo mutizivise dambudziko… https://t.co/xN1MaRRaYf"
17,"@thubevundla Hie Buddie, our apologies for the delay. We're currently having challenges on our system. Kindly check… https://t.co/Vnkru3nGPf"
18,@thubevundla To register for FREE dial *771# or visit https://t.co/aN3OrDLUsa  ^NMT
19,"@SpencerChikara1 @EcoCashZW @lotan219 Kindly provide your bank account number, amount &amp; the date of the transaction for assistance. ^NMT"
20,"@david21873165 Hi David, apologies for the challenge. We have engaged our support team to look into the issue. A re… https://t.co/umFt9BK1KQ"
21,"@Natemeja Please note that our data bundles are usage based.  For transparency, you can now check your data usage o… https://t.co/sEV2dLl0k5"
22,"@lotan219 @EcoCashZW Hi Buddie, kindly provide your bank account number and the date that you made the transaction. ^NMT"
23,"@Natemeja Please note that our data bundles are usage based. The Data Daily 1GB bundle, for example, expires after… https://t.co/0fTDLLZbOT"
24,"@stuk_in_the_mud Hi @stuk_in_the_mud, apologies for the delay. The issue is still work in progress and you will rec… https://t.co/9Ky7TJKful"
25,"@Martinmutize28 Hi Martin, may you kindly share the date of purchase of the bundle so that we can assist. ^MM"
26,"@Letty_N22 Hie 💕@Letty_N22, may you please direct message your mobile number and full query so that we can assist. ^TFM"
27,"@Babaelisha18 Hie @Babaelisha18, may you please change your language to English. Kindly dial 152 and follow prompts. ^TFM"
28,"@daniel_zhnts Hie Daniel, may you please direct message your mobile number, meter number and the amount so that we can assist. ^TFM"
