Tweets,len,ID,Date,Source,Likes,RTs,SA
"@nhliziyo94 Hey Buddie, sorry about that. Kindly DM your number, meter number, the date and amount of the transacti… https://t.co/URFYZqu90c",140,1.13E+18,10/5/2019 13:13,Twitter Web Client,0,0,1
"@Chipo05894302 Hi @Chipo05894302, thank you for the feedback. Kindly follow us back for further assistance. ^AS",111,1.13E+18,10/5/2019 13:02,Twitter Web Client,0,0,1
"@iam_kingbee Apologies for the challenge @iam_kingbee. Kindly share your mobile number, date of purchase and amount… https://t.co/zdqM7bRzCO",140,1.13E+18,10/5/2019 12:51,Twitter Web Client,0,0,1
@KingChyname May you please check your inbox for our response. ^DTM,67,1.13E+18,10/5/2019 12:50,Twitter Web Client,0,0,0
"@harmonyagere Hi @harmonyagere, on the provide date you purchased a WhatsApp weekly bundle, a Data daily Bundle, RT… https://t.co/oJhs7T4Fx3",140,1.13E+18,10/5/2019 12:49,Twitter Web Client,0,0,0
"@PkayDominic Hi @PkayDominic, DM the phone number of the line so that we can look into it and advice. ^AS",105,1.13E+18,10/5/2019 12:32,Twitter Web Client,0,0,0
"@EcoCashZW @VMsengi Hi @VMsengi, how can we assist you with the provided information? ^AS",89,1.13E+18,10/5/2019 12:29,Twitter Web Client,0,0,0
"@mkombo_s You are welcome Shelly, our support team is working on resolving your query. ^DTM",91,1.13E+18,10/5/2019 12:26,Twitter Web Client,0,0,1
"@Audreybandaa888 Hello Audrey, kindly  note that your bundle was active and has since expired. You may track your u… https://t.co/mwrPaoDqD1",140,1.13E+18,10/5/2019 12:22,Twitter Web Client,0,0,1
@JeraZW Thank you for the feedback. Check your DM for the response. ^AS,71,1.13E+18,10/5/2019 12:20,Twitter Web Client,0,0,0
"@giftmun Hi @giftmun, you are welcome and thank you for the feedback, have a great day. ^DTM",92,1.13E+18,10/5/2019 12:19,Twitter Web Client,0,0,1
"@giftmun @EcoCashZW Hi @giftmun, thank you for the feedback. For any other Ecocash related queries you can now enga… https://t.co/JQkxsFOnBu",140,1.13E+18,10/5/2019 12:17,Twitter Web Client,0,0,-1
"@Ngonidzashetad4 Hi @Ngonidzashetad4, may you please DM us your mobile number, Kwese account number and the error r… https://t.co/kMY0TOkAHE",140,1.13E+18,10/5/2019 12:16,Twitter Web Client,0,0,0
"@Kris_Kuda Hi @Kris_Kuda, drop your phone number in our DM so that we can escalate for investigating and assistance. ^AS",120,1.13E+18,10/5/2019 12:15,Twitter Web Client,0,0,0
@KOKERAICHIKERE1 You are welcome Kokerai. For any other Ecocash related queries you can now engage us on WhatsApp p… https://t.co/Lhwx7p0JMU,140,1.13E+18,10/5/2019 12:13,Twitter Web Client,0,0,1
"@linzYNWA Hi Allen, we apologise for the experience. Kindly check your inbox for our response. ^DTM",99,1.13E+18,10/5/2019 12:09,Twitter Web Client,0,0,1
"@ngonicha Hi @ngonicha, check your DM for the response. ^AS",59,1.13E+18,10/5/2019 12:06,Twitter Web Client,0,0,0
"@__Lesley____ @nobula9 @EcoCashZW Hi Lesley, DM your phone number and query so that we can make a follow and assist. ^AS",120,1.13E+18,10/5/2019 11:34,Twitter Web Client,0,0,0
"@iam_kingbee Hi @iam_kingbee, how may we assist you? ^DTM",57,1.13E+18,10/5/2019 11:34,Twitter Web Client,0,0,0
"@Ndi_Ash Hi William, may you please check your inbox for our response. ^DTM",75,1.13E+18,10/5/2019 11:33,Twitter Web Client,0,0,0
"@stuk_in_the_mud Hi @stuk_in_the_mud, check your DM for the response. ^AS",73,1.13E+18,10/5/2019 11:27,Twitter Web Client,0,0,0
"@kudziealbert Hi @kudziealbert, check your DM for the response. ^AS",67,1.13E+18,10/5/2019 11:25,Twitter Web Client,0,0,0
"@Chipo05894302 Hi @Chipo05894302, the provided number is not taking our call. Kindly follow us back so that we can assist. ^AS",126,1.13E+18,10/5/2019 11:23,Twitter Web Client,0,0,1
"@EcoCashZW @geoffmunemo Hi @geoffmunemo, we apologize for the experience. Kindly note that our technicians are work… https://t.co/6WHwnpZ7kq",140,1.13E+18,10/5/2019 11:07,Twitter Web Client,0,0,1
"@Trishent44 Hello Tatman, may you please DM us your mobile number and the error message you are getting when withdr… https://t.co/0arg4sfZel",140,1.13E+18,10/5/2019 10:58,Twitter Web Client,0,0,0
"@mkombo_s Hey Shelly, thank you for letting us know of this challenge. We have escalated the issue to our support t… https://t.co/TZuorqZCAM",140,1.13E+18,10/5/2019 10:56,Twitter Web Client,0,0,0
"@JeraZW Hi @JeraZW, drop your phone number in our DM so that we can assist with the bundle conversion. ^AS",106,1.13E+18,10/5/2019 10:53,Twitter Web Client,0,0,0
"@StevenF65974008 Hey @StevenF65974008, we have followed you kindly follow us back for further assistance. ^AS",109,1.13E+18,10/5/2019 10:51,Twitter Web Client,0,0,1
"@MatopodziNyasha Hi Nyasha, please check your DM for our response. ^DTM",71,1.13E+18,10/5/2019 10:44,Twitter Web Client,0,0,0
@vaChihoro_o @econetzimbabwe Thank you for the continued support. For any other Ecocash related queries you can now… https://t.co/JkgtuvWIU5,140,1.13E+18,10/5/2019 10:42,Twitter Web Client,0,0,-1
"@MatopodziNyasha Hi @MatopodziNyasha, may you please DM us your mobile number and I.D number so that we can assist. ^DTM",120,1.13E+18,10/5/2019 10:38,Twitter Web Client,0,0,0
"@bouffdaddy11 Hey Buddie, kindly check your DM for our response. ^VM",68,1.13E+18,10/5/2019 10:37,Twitter Web Client,0,0,1
"@Trishent44 Hello, how may we be of assistance today? ^VM",57,1.13E+18,10/5/2019 10:17,Twitter Web Client,0,0,0
@Trishent44 Good day Buddie.,28,1.13E+18,10/5/2019 10:17,Twitter Web Client,1,0,1
"@pharienyasha Hey Nyasha, had it been the sim card you would be facing challenges despite the device you use. It co… https://t.co/qV47pSTrPR",140,1.13E+18,10/5/2019 10:10,Twitter Web Client,0,0,0
@harmonyagere Kindly let us know the date of the transaction so that we can comprehensively look into the matter. ^VM,117,1.13E+18,10/5/2019 10:03,Twitter Web Client,0,0,1
"@fafiemano Hi @fafiemano, check your DM for the response. ^AS",61,1.13E+18,10/5/2019 10:01,Twitter Web Client,0,0,0
"@nobula9 @EcoCashZW Hi @nobula9, drop your number in our DM so that we can investigate and assist. ^AS",102,1.13E+18,10/5/2019 09:57,Twitter Web Client,0,0,0
"@cmbanhete Hi @cmbanhete, may you DM us your mobile number so that we can investigate and assist. ^DTM",102,1.13E+18,10/5/2019 09:56,Twitter Web Client,0,0,0
"@cmbanhete Hi @cmbanhete, may you DM us your mobile number so that we can investigate and assist. ^DTM",102,1.13E+18,10/5/2019 09:56,Twitter Web Client,0,0,0
@KingChyname May we know the Econet shop you visited so that we can further assist. ^DTM,88,1.13E+18,10/5/2019 09:55,Twitter Web Client,1,0,0
"@LarryTrusida @EcoCashZW Hi @LarryTrusida, we have made a follow up on your query with reference ID CSD_20190510_00… https://t.co/YAXbee9QuV",140,1.13E+18,10/5/2019 09:53,Twitter Web Client,0,0,0
"@SkimG2 Hey Buddie, note that you can now check your usage by registering on My Web SelfCare. To register on the pl… https://t.co/PHudHK28gm",140,1.13E+18,10/5/2019 09:22,Twitter Web Client,0,0,0
"@_Madzoka Hey Buddie, kindly DM us your experience so that we can look into the matter and assist you accordingly. ^VM",118,1.13E+18,10/5/2019 09:02,Twitter Web Client,0,0,1
"@rutly12 Hi @rutly12, may you please DM us your mobile number so that we can check. Please, note that you also have… https://t.co/0P0MEi1JD4",140,1.13E+18,10/5/2019 09:00,Twitter Web Client,0,0,0
"@kudziealbert Hi @kudziealbert, drop your phone number in our DM so that we can look into it and assist. ^AS",108,1.13E+18,10/5/2019 09:00,Twitter Web Client,1,0,0
@Nem_Leceh 👌,12,1.13E+18,10/5/2019 08:56,Twitter Web Client,0,0,0
"@vuyi_chaza Hello Vuyi, note that you can track your usage by registering on My Web SelfCare for free. Please follo… https://t.co/5peGEclbYY",140,1.13E+18,10/5/2019 08:55,Twitter Web Client,1,0,1
@vaChihoro_o @econetzimbabwe Good morning Rutendo. We sincerely apologise for the unpleasant experience. Kindly DM… https://t.co/nRtsj7Mcqg,139,1.13E+18,10/5/2019 08:50,Twitter Web Client,1,0,1
"@KOKERAICHIKERE1 Hi @KOKERAICHIKERE1, we have engaged our support to assist with converting the bundle. ^DTM",108,1.13E+18,10/5/2019 08:50,Twitter Web Client,0,0,0
"@bouffdaddy11 Hi Trinity, may you please DM us your mobile number and the date of the transaction so that we can further assist. ^DTM",133,1.13E+18,10/5/2019 08:40,Twitter Web Client,0,0,0
